season,playerId,fullName,team_number_of_matches,matches_played,dob,reference_date,age_at_start_of_year,availability_perc,availability_adjusted
2014,500083,Dylan Walker,27,24,1994-09-27,2014-01-01,19,0.8888888888888888,0.8744855967078189
2014,500086,Adam Reynolds,27,26,1990-07-10,2014-01-01,23,0.9629629629629629,0.9458161865569272
2014,500095,George Burgess,27,23,1992-04-21,2014-01-01,21,0.8518518518518519,0.8388203017832647
2014,500088,Issac Luke,27,18,1987-05-29,2014-01-01,26,0.6666666666666666,0.6604938271604938
2014,500092,Sam Burgess,27,26,1988-12-14,2014-01-01,25,0.9629629629629629,0.9458161865569272
2014,500085,John Sutton,27,22,1984-11-05,2014-01-01,29,0.8148148148148148,0.8031550068587104
2014,500002,Daniel Tupou,27,19,1991-06-17,2014-01-01,22,0.7037037037037037,0.696159122085048
2014,500003,Michael Jennings,27,21,1988-04-20,2014-01-01,25,0.7777777777777778,0.7674897119341564
2014,500004,Shaun Kenny-Dowall,27,27,1988-01-23,2014-01-01,25,1,0.9814814814814815
2014,500005,Roger Tuivasa-Sheck,27,26,1993-06-05,2014-01-01,20,0.9629629629629629,0.9458161865569272
2014,500006,James Maloney,27,27,1986-06-15,2014-01-01,27,1,0.9814814814814815
2014,500007,Mitchell Pearce,27,26,1989-04-07,2014-01-01,24,0.9629629629629629,0.9458161865569272
2014,500008,Jared Waerea-Hargreaves,27,26,1989-01-20,2014-01-01,24,0.9629629629629629,0.9458161865569272
2014,500009,Jake Friend,27,23,1990-02-01,2014-01-01,23,0.8518518518518519,0.8388203017832647
2014,500013,Boyd Cordner,27,22,1992-06-09,2014-01-01,21,0.8148148148148148,0.8031550068587104
2014,500011,Aidan Guerra,27,23,1988-02-25,2014-01-01,25,0.8518518518518519,0.8388203017832647
2014,500016,Mitchell Aubusson,27,26,1987-10-01,2014-01-01,26,0.9629629629629629,0.9458161865569272
2014,500039,Dylan Napa,27,24,1992-11-13,2014-01-01,21,0.8888888888888888,0.8744855967078189
2014,500232,Josh Morris,28,19,1986-08-23,2014-01-01,27,0.6785714285714286,0.6721938775510204
2014,500240,Corey Thompson,28,25,1990-05-15,2014-01-01,23,0.8928571428571429,0.8788265306122449
